11,南京,4153,2824,5937,7065,9670,7963,4285,5355,6221,8434,10750,9460,7600,4321,7816,7415,9652,10392,8014,8154,7948,7975,8101,6387,5602,2009,4070,3833,4316,4550,3380,2526,2074,2631,3887,6614,4889,5372,8121,9166,8105,7827,9247,8162,6922,7405,10428,13670,4004,2098,3923,5791,1565,1606,1472,3617,5940,6611,5719,5933,6998,2115,2178,2104,3026,2724,3148,2571,3007,3024,2799,3772,2177,3356,6693,5373,5857,7244,8477,6762,6535,6306,6719,6310,6701,3998,8190,7546,6697,6035,8027,6907,6688,7408,8013,8436,5899,3321,4748,5730,4706,3913,3863,5184,4096,7097,8571,8375,4751,3673,4469,5929,6277,8352,9505,10050,10217,9963,14282,14493,12700,7471,11871,15455,13264,12059,11852,8510,12356,7149,6316,4292,4784,1901,3658,5893,5595,5132,6712,3236,6321,3795,4772,7463,6321,3105,2560,65535,2746,4013,4908,4538,2712,2936,7110,7166,4166,1948,4591,5517,4828,4643,7913,4120,6988,7144,2684,8670,4776,2010,3071,6085,6500,6694,7240,6323,5462,5167,7725,0,0,0,0,0,0,0,0
12,无锡,778,577,1620,1946,1911,2326,1464,1578,1613,2001,2563,2030,1915,1129,1794,2611,2649,2969,2562,2736,3283,4388,3550,3132,1941,607,1635,1387,1951,1908,2030,1490,1575,1912,2121,2755,1902,2253,3824,4074,4736,4058,4410,4402,3918,5736,6308,6292,2780,1492,3801,5492,1543,2002,2534,4177,5916,4607,3462,4848,3158,1557,1486,1822,2116,1918,2196,1784,2208,1904,2650,3096,1111,2046,4359,3167,4673,4556,4182,3710,3914,3750,3460,4511,3502,1749,3822,3502,3554,3235,3146,2578,3901,3716,2768,3595,2274,1908,2898,2550,2924,3383,3016,3722,3666,4779,4550,4649,2567,1907,2711,3890,4598,4616,3936,3622,4008,4117,4292,4525,4164,2680,12665,8644,6870,6465,5224,7062,6449,3454,1680,2435,2115,1492,2161,1908,1777,1766,1702,2529,4968,4093,3261,4289,3058,1692,2281,3789,3290,3555,5002,7088,12639,13296,3504,2835,2971,2477,4408,4313,4591,6822,4867,5928,6613,4026,4063,3116,2486,1321,3070,3838,4271,4375,5636,5565,4376,3685,4305,0,0,0,0,0,0,0,0
13,苏州,1351,1316,2616,3945,4776,2623,3011,2798,3274,4334,4401,4414,2753,1554,3737,3700,4746,3975,4486,4501,6372,3082,3846,2605,2114,893,1925,2329,2733,2735,2176,2075,1390,1963,2497,2348,1492,3890,3236,6002,7425,6156,6456,4684,5404,6688,5736,6158,1601,739,2756,5608,980,1109,1585,2851,5056,5328,3868,4460,3512,1904,1769,2533,3645,3324,2730,3085,3027,2581,2117,2243,1022,2393,4587,3917,4499,5360,4312,4890,4262,4143,4344,5396,4410,2522,5842,5373,4627,4523,4955,4366,4935,6882,4776,6341,3879,2776,4448,4627,4425,4161,4431,5622,5255,6660,6366,7057,3574,2892,4156,6510,6488,8481,7718,6923,9462,9965,11283,8872,10483,4946,8022,5719,4480,3556,3244,3660,7169,4622,2179,1881,1868,1863,2687,4735,4001,6097,5348,3696,4233,4969,5268,5106,3844,2602,2915,4526,2950,5447,4597,5060,4761,4030,4376,7802,5400,2742,4379,7405,7354,7001,7095,5115,5895,5321,6258,6209,5304,2133,4299,5463,4930,6728,6325,5860,5856,4945,5777,0,0,0,0,0,0,0,0
14,杭州,868,516,854,2252,2931,1336,904,966,1989,2218,1695,1903,1556,788,1401,2556,4413,5158,2726,2463,2514,2299,1937,1313,1388,851,1277,1698,2499,1466,1544,867,1182,1092,1313,1593,1002,1330,3841,4875,8091,6093,2716,2336,2571,3302,3342,3650,924,235,1051,2737,477,345,1326,1710,3248,1475,1861,3062,1832,539,283,456,1027,1159,770,993,783,923,634,1271,401,819,3429,3419,3256,4806,3764,2653,2723,1770,2359,2305,2761,1315,3153,2627,2280,2460,2019,2197,2255,1993,2289,2301,1538,639,1184,1598,1405,1471,1640,2664,2814,3730,3541,4386,1723,1228,1528,3528,3920,4172,3186,2997,2614,2491,2925,5002,2733,1600,6623,5618,2943,3774,3466,4054,3827,2667,733,1291,1271,1541,2528,2780,1575,2533,3043,2743,1617,2300,1793,1871,1462,743,627,1077,672,1133,1116,1955,793,881,2614,2509,1303,430,1136,1686,988,942,2620,1385,2450,1999,2293,2293,1008,0,925,3708,2264,1684,1960,1353,997,1150,1223,0,0,0,0,0,0,0,0
15,宁波,598,622,1581,2483,1951,1261,882,1395,1242,1836,1490,2000,1412,612,1536,1773,2260,3411,3329,2599,1968,1439,2147,1457,1328,349,1178,1700,1322,1320,1155,814,1127,937,713,1688,1089,1392,2628,2824,3967,3644,2640,1894,2120,2874,2577,1688,627,180,795,2049,556,496,1035,691,2230,780,1233,1468,2486,605,292,490,1021,914,959,761,661,561,587,643,332,387,1092,1210,1830,1934,2929,2100,1262,1061,1554,1799,1674,730,1450,1162,1255,951,1369,1253,1164,2262,1713,1797,1241,420,884,938,2219,1619,2069,3416,2311,3241,6254,3085,1860,1116,1743,3207,3416,3685,3217,2697,2775,2706,3060,3254,2279,1548,5052,4850,3594,3631,3005,3708,4454,4646,2954,6144,2081,2353,4950,5358,4696,5089,4363,3443,3970,3062,6186,2847,3349,1955,3167,4744,5982,4868,4412,2141,2145,2333,2289,2205,2358,1106,2827,5013,3918,3932,3417,4367,3433,2392,3544,3751,2978,0,2131,2934,5069,4737,5190,5324,4400,3549,2911,0,0,0,0,0,0,0,0
16,温州,157,130,194,297,425,236,327,232,523,492,572,616,969,2564,416,824,495,380,201,87,48,100,79,37,49,160,1132,107,789,347,298,424,317,115,77,94,312,200,228,961,1649,419,344,675,708,676,414,641,548,435,392,301,116,22,24,49,52,79,24,31,77,28,17,11,9,76,12,12,41,144,294,203,42,126,60,531,322,223,541,530,1110,635,660,882,706,224,222,310,815,1207,641,1304,2675,647,682,756,718,557,420,588,434,333,325,709,1277,681,1637,1238,906,658,634,704,1168,1229,776,772,878,1014,904,1791,1198,578,2027,1800,1664,1567,984,785,1395,1398,2034,1419,1345,1130,883,1938,1354,1260,1359,1333,1728,813,922,1188,1537,572,1018,1309,1367,1982,2115,2322,1744,891,1423,1343,1307,1362,1641,2245,2287,3047,2521,3013,2501,2181,2195,1906,1931,147,777,1539,4399,7670,8492,3120,2613,1998,2469,0,0,0,0,0,0,0,0
17,合肥,2116,1513,2634,2994,3031,2767,2619,2716,3126,3796,4318,3928,3601,2096,3719,3782,4671,4882,8223,8201,8199,8584,8599,7062,7084,3340,5473,5430,6395,4491,2529,1629,1133,653,647,856,2236,3863,6700,6708,8100,6825,8320,6658,6916,8491,9230,8629,10463,4852,9375,10652,3807,2979,3093,5270,6054,6016,5242,7662,1255,4557,8845,2181,4213,4510,4274,6854,9180,6274,3153,3849,2120,4727,6478,5463,7308,7227,9370,8409,7785,8315,8775,8199,8014,6055,13270,10477,8580,8825,9352,9196,8791,9501,11022,14165,8905,7070,10501,9645,8275,8348,8123,8448,7326,7305,8850,8857,6038,4901,7128,8743,10213,8722,9176,8085,8057,9614,9755,8675,8631,6270,8170,8521,6069,11634,8976,7559,8187,3469,1892,2400,2016,1856,1801,1570,1625,1723,1633,1376,1700,1299,4974,9216,5232,3138,3627,6825,19345,12692,13559,8946,7747,11857,18773,10117,7542,4798,5834,8514,7021,9139,8548,7835,5602,3907,3384,5767,3113,629,4239,6796,6835,8770,5746,5830,5554,4747,7255,0,0,0,0,0,0,0,0
18,福州,3653,3844,5004,4086,5891,2907,2290,3769,1463,4292,4130,3369,2950,1662,6021,2848,1075,3150,3561,2939,4134,1950,1430,1996,1177,990,1098,1247,4701,1735,1420,886,1287,1060,1457,2202,2448,2890,3796,4501,4578,4534,4545,2258,2198,3006,3821,4345,1969,1200,1496,2237,866,1069,792,1292,1885,3874,1274,1547,4156,548,948,983,937,2017,1161,999,653,629,591,496,294,549,721,543,781,665,1512,1792,1155,1605,1788,1566,1513,1113,2190,1299,1287,1043,937,623,1166,1503,1565,1773,1742,1013,1576,1038,980,851,2174,1724,1452,1550,1717,2548,1391,1817,1733,2094,2283,3055,2230,1941,2290,2114,2720,2884,1775,1478,2281,3415,2197,2942,2517,3003,3332,2207,576,1195,828,927,1423,856,779,654,1020,1647,1842,1361,1361,1361,1500,1703,990,736,633,753,1172,2088,1486,2397,2718,7140,2695,1711,2196,1791,2500,2352,2139,2437,3167,2273,1805,2375,1742,1346,1952,1552,2032,2280,2600,2831,6836,2803,3434,0,0,0,0,0,0,0,0
19,厦门,1089,1584,1780,2209,3178,1675,1371,1865,2723,2477,3179,2609,1639,1537,1403,2588,1295,3355,1987,4648,2118,1496,2571,1662,815,248,527,921,1012,804,1042,539,728,538,722,959,1424,2929,4418,3471,3195,3844,2935,2103,1495,1909,2010,2727,1341,911,3026,3108,999,799,586,1655,1689,2788,2070,2268,2895,1169,870,1132,2188,1707,2475,1858,2572,2470,1719,1788,826,1503,3331,3067,4761,5225,4899,3001,3885,3831,3700,3569,5004,4382,8160,3791,4389,3210,3890,2895,2151,2078,846,299,4723,1732,2807,1091,1634,1886,1782,1668,1257,1698,1881,1868,1034,766,972,1506,2532,2599,1968,2284,2015,2343,3477,3721,1071,758,2514,4772,4243,1957,3002,871,1816,534,599,738,473,567,2893,1324,945,715,597,587,622,926,813,558,294,513,400,735,1415,775,516,613,295,447,504,793,555,427,1035,1435,1517,1726,1051,1511,920,607,944,1295,931,319,872,1232,1820,2097,2287,1907,1768,2293,2174,0,0,0,0,0,0,0,0
20,南昌,855,812,1514,1864,2523,1867,1464,1033,1359,1376,1835,2349,2269,1913,2897,2016,2854,2929,2973,2966,3128,2025,1989,1700,785,463,898,791,1000,1423,1347,970,831,1429,1753,2732,1634,2462,3529,3316,4128,3570,2367,2983,2846,2595,2683,2285,1495,1213,1466,2138,1257,1861,1329,1889,3566,2803,1972,1700,2429,839,420,1231,1474,1751,1481,1429,1278,913,1036,1030,1462,1417,2507,2176,3370,3516,3944,2678,1959,3263,2103,3456,3180,2581,2645,2253,2173,2983,2305,1964,2520,3856,2943,1252,9639,1857,1752,1806,1566,1668,2528,2742,3039,3355,3412,4093,2576,2769,2209,3448,3535,3749,3494,2807,3263,3404,4403,4253,2553,2230,4495,5151,3998,3808,4092,5864,4592,5829,3944,4254,3778,3589,2880,2983,2537,2402,2742,3434,3161,2793,2849,2641,2974,2528,1892,2364,2305,3641,3851,3444,4796,5564,5049,3953,4156,4963,4516,4712,4341,4447,3423,3967,4586,3632,3935,3516,3004,530,2634,3241,4171,3490,2826,1940,2589,3429,3537,0,0,0,0,0,0,0,0
21,济南,0,0,0,0,0,0,0,0,0,0,0,0,1789,448,431,414,1134,1444,1232,1686,1433,1531,1643,1530,1707,709,1140,1480,1401,1257,1360,1136,868,828,606,1298,600,668,1625,1851,2225,3028,2056,1904,2480,1182,2269,2899,1415,409,1718,2025,1676,1266,1626,1693,1604,2064,1872,2255,6415,8688,1301,2031,3351,2986,3157,2237,2610,2549,2045,1841,723,1684,3171,2799,3445,3328,3376,3524,3593,4179,3484,4205,3721,1793,5187,2919,3536,4861,3803,4596,5363,5368,5094,3421,2911,2108,3948,4172,2997,3385,7764,6050,4490,4998,5904,9632,7458,3182,5444,6687,8335,7876,6694,6894,6406,8497,9582,8971,7433,1423,14384,11279,11630,14860,11785,10784,14975,5398,5897,8935,5414,5807,5622,6603,3540,3889,2323,3358,3924,3622,6707,6222,3383,2200,4717,6265,6808,5673,5464,5302,6118,4533,4148,3146,4865,3713,6783,9566,6772,7952,7465,6413,7270,6199,7456,7221,3316,729,3650,6150,13618,6760,5752,5993,5631,10784,6614,0,0,0,0,0,0,0,0
22,青岛,628,675,1055,816,780,584,556,498,925,670,911,640,554,444,1133,827,850,1105,992,1467,1318,913,884,539,384,200,389,444,511,437,422,506,644,475,638,800,386,657,859,2151,1713,1685,1750,1509,1670,1767,1869,1982,1435,309,1137,1385,953,422,1159,1331,2225,3471,2494,2032,2033,258,398,390,724,1421,968,945,1032,879,757,1940,428,773,971,892,1389,989,2085,2147,2393,1782,1665,2609,1864,1089,3408,2113,1939,1808,1481,1741,2323,3791,3941,2624,1302,1499,1068,1363,1336,1261,1067,1729,2064,1797,2254,2340,1351,865,1549,2117,2537,2622,2607,3347,2790,2592,3382,3322,2119,1106,3260,4433,4579,3849,4166,3148,2870,3045,1342,1892,2139,1684,1763,1265,1261,1160,803,647,871,1774,1301,1847,1150,2840,1166,5308,1514,1078,552,439,433,212,863,677,301,171,356,522,747,747,758,467,534,1165,691,1064,552,186,472,748,731,920,596,908,712,541,743,0,0,0,0,0,0,0,0
23,郑州,3560,2559,4269,4744,5382,5318,4124,6139,4980,4969,6760,6532,4597,3142,3905,5000,4795,6342,7322,8900,4470,4466,7622,6420,3240,1495,3003,3937,6030,4396,4958,4896,3554,3419,6565,6743,2977,4711,9090,8686,8594,8627,9455,9544,9761,9342,8322,13957,10287,4694,8744,8628,5612,5612,7230,9059,8624,7620,6585,8440,4294,2204,3293,2216,4897,3401,3018,3990,3525,3582,2825,3881,1447,2619,5469,4935,8675,7882,7434,7268,6846,5172,7284,6366,6460,2800,7591,5565,7965,5963,5392,6001,4778,4839,11681,9071,6181,3327,6180,6048,5988,5701,6010,7240,4987,6681,6591,8990,6416,5013,6238,7549,8040,7808,9215,8702,8440,8583,8912,11601,7422,5009,10287,13387,12657,16223,12138,17962,22927,8497,10825,11352,4062,5121,5803,5328,5098,8767,10751,7232,11596,7625,6191,12458,9259,4966,6944,7460,6778,11502,8283,8086,8574,8359,11093,18432,8200,4704,9774,14144,11804,14075,13222,9717,10014,7451,10390,10542,8128,135,4655,10191,11036,10461,10784,10632,0,0,0,0,0,0,0,0,0,0,0
24,武汉,4328,3636,7520,7058,8523,6920,5666,5493,6021,7935,8395,5627,8256,3262,7532,7338,6622,7649,7755,7175,6853,7108,6219,4136,4271,1619,3623,2165,2669,2942,2988,2074,2120,2636,3608,4262,2314,3577,6633,7831,5473,8456,8571,8211,7674,7668,9893,9700,11241,2112,6890,10318,6259,4304,5235,5746,6935,7387,7794,7725,7567,2841,5873,4299,6421,7401,6357,7636,7708,7586,7244,6775,3559,4741,7168,7506,7538,9565,10410,9212,8493,9283,9226,9627,8212,4117,9455,6499,5889,4813,4451,3867,4021,4190,3543,9325,7166,6782,10982,8990,8000,9863,10096,11161,12545,15907,17493,15161,10672,7736,12213,12743,15059,14441,13016,14048,17222,19256,23001,20048,17463,12501,23956,27600,19079,21440,17540,19374,14285,14465,18761,15263,11276,7545,11589,15158,12885,11822,14452,12815,10586,11197,12459,13607,10487,4941,5547,7773,6735,9236,7620,8569,7374,9342,11310,11972,7732,6683,7816,9122,9829,12119,18982,10954,11292,13110,12301,12838,7761,0,0,3322,7323,7105,13061,12044,11929,12900,14460,0,0,0,0,0,0,0,0
25,长沙,3103,1353,3878,3835,2954,3377,3512,3814,4696,2374,4696,6303,4948,4046,4367,4617,2367,4918,4782,5292,2530,3465,4930,3966,5485,1603,2210,2275,2236,2009,1614,1626,1370,1358,1163,2057,1725,1105,1825,2443,2848,3842,2639,2924,2656,5107,9652,9400,10307,4081,7477,8672,9990,6690,6416,4625,6056,5204,7848,13819,11073,3527,7994,8164,6171,5896,7362,6946,5538,4821,5058,4513,2727,2626,3503,4562,4416,6603,6173,7098,7570,4898,8559,6972,8469,4111,8539,9146,7344,8727,6740,8694,6522,7183,9256,6623,7470,4784,6767,6353,6209,5332,4777,5648,3811,3831,6448,6126,8230,4711,6581,8644,7577,7659,9223,8842,8766,7664,10093,9084,9925,4145,8959,11767,11195,12236,10415,8666,8502,9120,13721,15239,8997,9250,10934,11871,11160,9605,10382,8302,8303,4747,5729,5567,5705,5292,11042,12195,9832,11255,8786,7660,8107,6270,10203,11045,7886,3601,7475,7418,6171,6133,5148,5687,9873,8612,10984,8770,6933,1173,6214,8064,6565,6131,7893,9232,9632,5962,8592,0,0,0,0,0,0,0,0
26,广州,4537,3020,4201,3751,3435,5593,3270,3666,4407,3349,5769,4691,5580,5128,3918,4751,3762,5956,5406,5905,5136,3704,3338,2606,2347,1261,2458,1326,1986,3221,5196,2687,2463,5198,4733,6098,5875,6535,8094,8885,11008,9391,4673,14656,7929,4597,6549,6610,4575,4236,4796,3911,4247,4041,2667,3089,3353,4522,5696,5038,4874,4091,6027,4576,4286,4779,4712,5315,5136,3387,4682,3762,3267,2434,3315,3445,3423,4689,4705,4466,5573,4171,5336,5215,4558,4087,7483,8536,5445,5670,5637,5773,4300,3634,4036,3793,3931,2519,3834,5151,4065,4136,5288,4410,3855,2909,4380,5357,4859,5813,4829,6601,5525,6111,6097,7692,6812,5020,6795,15506,6393,3702,5745,7913,11215,8860,8042,8288,6859,7744,10458,9893,9904,5239,7250,8039,6249,6193,6305,8346,4341,3677,5317,6037,6864,3427,4602,6424,7028,6815,6582,7489,7216,6268,8023,6575,6449,4102,6023,7603,6013,6350,6643,6265,6358,5292,6012,5997,5225,953,4393,4825,4574,5180,5658,6860,7530,5499,9937,0,0,0,0,0,0,0,0
